Breed Name,UK Registrations,Weight (kg),Origin
Labrador Retriever,45700,32.5,United Kingdom
English Cocker Spaniel,20459,,England
English Springer Spaniel,15133,,England
German Shepherd,12857,34.0,Germany
Staffordshire Bull Terrier,12729,33.0,England
Cavalier King Charles Spaniel,11411,15.5,United Kingdom
Golden Retriever,9373,70.0,Scotland
West Highland White Terrier,9300,7.95,Scotland
Boxer,9066,70.0,Germany
Border Terrier,8916,6.5,United Kingdom
